Category 7,"In Romans 3, the poison of what animal does the apostle Paul say is under men’s lips?",Asp ,Conidae,Scorpion,Gila monster,Romans,Romans 3:13
Category 7,"In Philippians 3, Paul compares evildoers to what animal?",Dogs ,Vipers,Wasps,Foxes ,Philippians,Philippians 3:2
Category 7,How many times does the word “grandmother” appear in the KJV Bible?,1,50,5,0,2 Timothy,2 Timothy 1:5
Category 7,In which book of the Bible is the word “grandmother” found?,2 Timothy ,Genesis,Exodus,Matthew,2 Timothy,2 Timothy 1:5
Category 7,Who was the only person in the KJV referred to by the term “grandmother?” ,Lois,Sarah,Rachel,Eve,2 Timothy,2 Timothy 1:5
Category 7,How does Paul describe himself in the first verse of 1Timothy?,An apostle of Jesus Christ,A servant of Jesus Christ,A follower of Jesus Christ,A slave of Jesus Christ,1 Timothy,1 Timothy 1:1
Category 7,"In the Book of 1 Timothy, what does Paul say he is by the commandment of God?",An apostle,A saint,An elder,A teacher,1 Timothy,1 Timothy 1:1
Category 7,"In the Book of 1 Timothy, by what authority does Paul say he is an apostle?",Commandment of Jesus Christ,Appointment by the Sanhedrin ,Blood of the cross,Law of Moses ,1 Timothy,1 Timothy 1:1
Category 7,How does Paul refer to God in the first verse of 1 Timothy?,Our Savior,Our Father,Jehovah,Alpha and Omega,1 Timothy,1 Timothy 1:1
Category 7,How does Paul refer to Jesus in the first verse of 1 Timothy?,Our hope,Our redeemer ,Our passion,Our salvation,1 Timothy,1 Timothy 1:1
Category 7,Who wrote the Book of 1 Timothy.?,Paul,Peter ,Timothy,John,1 Timothy,1 Timothy 1:1
Category 7,"In 1 Timothy, how does Paul refer to Timothy?",My son in faith,My brother in love,My fellow bondsman,My son in Christ,1 Timothy,1 Timothy 1:2
Category 7,"In the second verse of 1 Timothy, which of the following did Paul specifically wish Timothy from God and Jesus?",Grace,Wealth,Power,Understanding,1 Timothy,1 Timothy 1:2
Category 7,"In the second verse of 1 Timothy, which of the following did Paul specifically wish Timothy from God and Jesus?",Mercy,Authority,Prosperity,Wisdom,1 Timothy,1 Timothy 1:2
Category 7,"In the second verse of 1 Timothy, which of the following did Paul specifically wish Timothy from God and Jesus?",Peace,Understanding,Wisdom,Prosperity,1 Timothy,1 Timothy 1:2
Category 7,"In 1 Timothy, in whose name did Paul send grace, mercy and peace to Timothy?",God and Jesus,God and the elders,Jesus and the saints,Pilgrims and elders,1 Timothy,1 Timothy 1:2
Category 7,Where did Paul leave Timothy when he went on to Macedonia?,Ephesus,Tyre,Corinth,Damascus,1 Timothy,1 Timothy 1:3
Category 7,What was the name of the city where Timothy was asked to ensure that the church was teaching the true doctrine?,Ephesus,Macedonia,Jerusalem,Corinth,1 Timothy,1 Timothy 1:3
Category 7,"In 1 Timothy, what does Paul say is the source of godly edification?",Faith,Love ,Mercy,Grace,1 Timothy,1 Timothy 1:4
