45798,QID 1,Who created the heavens and the earth?,,,God,The archangel,Adam,Nature,1,Genesis,1,1,Genesis 1:1
45799,QID 2,What was without “form” and “void” at the beginning of creation?,,,The earth,The heavens,The sun,The moon,1,Genesis,1,2,Genesis 1:2
45800,QID 3,"Before creation, what was upon the face of the waters?",,,Darkness,Sunlight,Strong winds,Heavy rain,1,Genesis,1,2,Genesis 1:2
45801,QID 4,What moved upon the face of the waters during creation?,,,God’s spirit,A mighty wind,Lightning,Giant waves,1,Genesis,1,2,Genesis 1:2
45802,QID 5,Which did God make first?,,,Light,Dry Land,Seas,Grass,2,Genesis,1,3,Genesis 1:3
45803,QID 6,Who said: “let there be light”?,,,God,Satan,The archangel,Moses,1,Genesis,1,4,Genesis 1:4
45804,QID 7,What did God think of the light he created?,,,It was good,It wasn’t bright enough,It was too bright,He regretted making it.,1,Genesis,1,4,Genesis 1:4
45805,QID 8,What did God do with light and darkness during creation?,,,Separated them,Made them one,Nothing,Put them under man’s control,1,Genesis,1,4,Genesis 1:4
45806,QID 9,"During creation, what did God call the light?",,,Day,Brightness,Sunlight,The glow of life,1,Genesis,1,5,Genesis 1:5
45807,QID 10,"During creation, what did God call the darkness?",,,Night,Evil,Nothingness,Sin,1,Genesis,1,5,Genesis 1:5
45808,QID 11,What did God make on the first day of creation?,,,Day and night,Sea creatures,Plants,Man,2,Genesis,1,5,Genesis 1:5
45809,QID 12,"Who said: “Let there be an expanse between the waters to separate water from water.""",,,God,Noah,Moses,Gabriel the archangel,1,Genesis,1,6,Genesis 1: 6
45810,QID 13,Which of the following did God make on the second day of creation?,,,The firmament,Day and night,Plants,Sea creatures,2,Genesis,1,6,Genesis 1:6
45811,QID 14,What did God make to divide the waters above the earth from the waters on the earth?,,,The firmament,Oceans,Clouds,Mountains,2,Genesis,1,7,Genesis 1:7
45812,QID 15,What did God call the firmament he made during creation?,,,Heaven,Earth,Atmosphere,Nothing,2,Genesis,1,8,Genesis 1:8
45813,QID 16,On what day of creation did God make dry land?,,,Day 3,Day 1,Day 4,Day 2,2,Genesis,1,9,Genesis 1:9
45814,QID 17,What did God call the dry land he created?,,,Earth,Eden,Israel,Dirt,2,Genesis,1,10,Genesis 1: 10
45815,QID 18,What did God call the waters he gathered in one place during creation?,,,Seas,Lakes,Ponds,Rivers,1,Genesis,1,10,Genesis 1:10
45816,QID 19,On what day of creation did God make fruit trees?,,,Day 3,Day 6,Day 4,Day 5,2,Genesis,1,11,Genesis 1: 11
45817,QID 20,Which did God make first?,,,Fruit trees,The Moon,Birds,The sun,2,Genesis,1,11,Genesis 1:11
